charter,branches,balance,cash,wallet_tokens,withdrawal_cash,external_spend
1,1,6920.632759654483,2.002002002002002,1495.985206006269,0.0,0.0
2,2,12518.927265061706,0.010876120514706988,0.0,0.0,1.991125881487295
3,2,12518.927265061706,0.024439392687660044,0.0,0.0,1.9775626093143417
4,3,11876.895208074493,0.0038233761412511114,0.0,1.3799230452191842,3.3781016710799356
5,0,0.0,2.967216953640842,0.0,2.3656302939247507,1.4004153422859111
6,2,12518.927265061706,0.008930285343746514,0.0,0.0,1.9930717166582554
7,0,0.0,2.956789241564872,0.0,2.355588081398928,1.4008008418360578
8,0,0.0,3.668993162717122,0.0,1.6843568665955717,0.01736570588045181
9,0,0.0,2.8574713068331983,0.0,2.84626783017311,1.9907985253419138
10,0,0.0,2.78776056143063,0.0,6.530259317889644,5.744500758461017
11,2,12518.927265061706,0.005118047818635008,0.0,0.0,1.996883954183367
12,3,10819.833344646313,0.011379837867429299,0.0,5.986505068234619,7.977127232369192
13,2,13518.927265061699,0.006472109070846832,0.0,0.0,1.9955298929311556
14,2,12518.927265061706,0.004407839181094886,0.0,0.0,1.9975941628209075
15,3,12883.34116920194,0.0042506784795809105,0.0,2.1337271167839207,4.131478440306342
16,2,10772.812775755207,0.011108579734678995,0.0,4.320637951212957,6.311531373480279
17,0,0.0,3.0560834378693493,0.0,6.367963268953954,5.313881833086606
18,2,12518.927265061706,0.012250934274299352,0.0,0.0,1.9897510677277026
19,2,12518.927265061706,0.019091719183718103,0.0,0.0,1.982910282818284
20,3,11505.287968719895,0.0827532287912065,0.0,6.195153018847842,8.114401792058636
21,3,11876.895208074493,0.004492664572283991,0.0,1.3805407006573205,3.3780500380870384
22,3,11578.20077379492,0.0052936798547271735,0.0,5.7821293139962116,7.778837636143485
23,3,12899.238090219344,0.008107599686156874,0.0,2.312255613314037,4.306150015629882
24,0,0.0,3.3960870818339988,0.0,5.3337718880982266,3.9396868082662295
25,2,12518.927265061706,0.006285882963373179,0.0,0.0,1.995716119038629
26,3,9801.558540092488,0.001589529584461194,0.0,4.15786738189945,6.158279854316992
27,2,12518.927265061706,0.015022022200281038,0.0,0.0,1.986979979801721
28,2,12518.927265061706,0.016046013161937767,0.0,0.0,1.9859559888400642
29,4,11631.499716392584,0.0075704207325122674,0.0,5.960636462375424,7.955068043644912
30,2,9801.558540092488,0.03215032830089504,0.0,3.9768954820476843,5.946747155748792
31,2,12518.927265061706,0.00877972277054928,0.0,0.0,1.993222279231453
32,3,10127.892029039858,0.0008669196816022684,0.0,5.775034822177103,7.776169904497503
33,2,12518.927265061706,0.010120386843327944,0.0,0.0,1.9918816151586742
34,0,0.0,2.8980118117215836,0.0,4.219035702114611,3.3230258923950293
35,2,12518.927265061706,0.0034204514224178695,0.0,0.0,1.9985815505795843
36,2,12518.927265061706,0.007251669220770474,0.0,0.0,1.994750332781232
37,3,10080.23305233023,0.0013495008866886982,0.0,6.220416730470706,8.221069231586018
38,2,11876.895208074493,0.05481984580344468,0.0,2.196140819677603,4.143322975876161
39,2,12518.927265061706,0.006429628289761791,0.0,0.0,1.9955723737122404
40,2,13121.927265061699,0.009933188962045092,0.0,0.0,1.992068813039957
41,2,12518.927265061706,0.004170356942631459,0.0,0.0,1.997831645059371
42,4,10971.52744090643,0.006230570633675991,0.0,6.026565287611975,8.0223367189803
