hour,event,charter,count,price_tokens,funding,eth,inventory_tokens,gross_tokens,resolution_fee,net_eth
18.0,license,807,1,14452.779353024242,ledger,0.0,0.0,,,
18.0,license,1000,1,14452.779353024242,ledger,0.0,0.0,,,
18.0,license,95,1,14452.779353024242,ledger,0.0,0.0,,,
18.0,license,725,1,14452.779353024242,ledger,0.0,0.0,,,
18.0,license,549,1,14452.779353024242,ledger,0.0,0.0,,,
18.0,license,841,1,14452.779353024242,ledger,0.0,0.0,,,
18.0,license,950,1,14452.779353024242,ledger,0.0,0.0,,,
18.0,license,160,1,14452.779353024242,ledger,0.0,0.0,,,
18.0,license,160,1,14452.779353024242,ledger,0.0,0.0,,,
18.0,license,841,1,14452.779353024242,ledger,0.0,0.0,,,
18.0,license,841,1,14452.779353024242,ledger,0.0,0.0,,,
19.0,license,747,1,12355.97007420243,ledger,0.0,0.0,,,
19.0,license,791,1,12355.97007420243,ledger,0.0,0.0,,,
19.0,license,814,1,12355.97007420243,ledger,0.0,0.0,,,
19.0,license,786,1,12355.97007420243,ledger,0.0,0.0,,,
19.0,license,510,1,12355.97007420243,ledger,0.0,0.0,,,
19.0,license,9,1,12355.97007420243,ledger,0.0,0.0,,,
19.0,license,297,1,12355.97007420243,ledger,0.0,0.0,,,
19.0,license,133,1,12355.97007420243,ledger,0.0,0.0,,,
19.0,license,634,1,12355.97007420243,ledger,0.0,0.0,,,
19.0,license,298,1,12355.97007420243,ledger,0.0,0.0,,,
19.0,license,920,1,12355.97007420243,ledger,0.0,0.0,,,
19.0,license,621,1,12355.97007420243,ledger,0.0,0.0,,,
20.0,license,444,1,10592.770668170444,ledger,0.0,0.0,,,
20.0,license,733,1,10592.770668170444,ledger,0.0,0.0,,,
20.0,license,160,1,10592.770668170444,ledger,0.0,0.0,,,
21.0,license,95,1,9110.102608260666,ledger,0.0,0.0,,,
21.0,license,725,1,9110.102608260666,ledger,0.0,0.0,,,
21.0,license,549,1,9110.102608260666,ledger,0.0,0.0,,,
21.0,license,268,1,9110.102608260666,ledger,0.0,0.0,,,
22.0,license,971,1,7863.332351671355,ledger,0.0,0.0,,,
22.0,license,950,1,7863.332351671355,ledger,0.0,0.0,,,
23.0,license,77,1,6814.927712260451,ledger,0.0,0.0,,,
23.0,license,1000,1,6814.927712260451,ledger,0.0,0.0,,,
23.0,license,807,1,6814.927712260451,ledger,0.0,0.0,,,
25.0,license,57,1,5191.993979289569,wallet/cash,1.96094009552591,1495.985206006269,,,
25.0,license,774,1,5191.993979289569,wallet/cash,1.9619302797218143,1495.985206006269,,,
