scenario,seed,max_ETH_error,max_token_error,max_ledger_error
Adaptive; Charters closed,20260915,1.4915713109076023e-10,2.1350570023059845e-07,5.122274160385132e-08
Adaptive; Charters closed,20260916,1.2369127944111824e-10,4.530884325504303e-07,4.330649971961975e-08
Adaptive; Charters closed,20260917,1.5279510989785194e-10,5.83939254283905e-07,8.102506399154663e-08
Adaptive; Charters closed,20260918,1.964508555829525e-10,4.600733518600464e-07,2.561137080192566e-08
Adaptive; Charters closed,20260919,1.5643308870494366e-10,4.291650839149952e-07,5.4016709327697754e-08
Adaptive; Charters closed,20260920,1.4551915228366852e-10,6.528571248054504e-07,1.043081283569336e-07
Adaptive; Charters closed,20260921,2.219167072325945e-10,3.4691765904426575e-07,6.565824151039124e-08
Adaptive; Charters closed,20260922,1.2369127944111824e-10,5.42961061000824e-07,7.543712854385376e-08
Adaptive; Charters closed,20260923,1.6007106751203537e-10,3.1548552215099335e-07,6.146728992462158e-08
Adaptive; Charters closed,20260924,1.5279510989785194e-10,2.8312206268310547e-07,2.9802322387695312e-08
Adaptive; Charters closed,20260925,1.127773430198431e-10,4.791654646396637e-07,7.031485438346863e-08
Adaptive; Charters closed,20260926,1.2732925824820995e-10,1.9371509552001953e-07,4.470348358154297e-08
ETH Charters open at +48h,20260915,1.0186340659856796e-10,4.570465534925461e-07,8.42846930027008e-08
ETH Charters open at +48h,20260916,1.418811734765768e-10,6.2515027821064e-07,8.195638656616211e-08
ETH Charters open at +48h,20260917,1.7826096154749393e-10,1.7601996660232544e-07,7.916241884231567e-08
ETH Charters open at +48h,20260918,2.1100277081131935e-10,2.6728957891464233e-07,8.754432201385498e-08
ETH Charters open at +48h,20260919,1.3096723705530167e-10,3.5995617508888245e-07,7.171183824539185e-08
ETH Charters open at +48h,20260920,1.5643308870494366e-10,5.75091689825058e-07,4.516914486885071e-08
ETH Charters open at +48h,20260921,2.3646862246096134e-10,2.5425106287002563e-07,6.798654794692993e-08
ETH Charters open at +48h,20260922,1.8917489796876907e-10,6.789341568946838e-07,6.705522537231445e-08
ETH Charters open at +48h,20260923,1.964508555829525e-10,3.2223761081695557e-07,6.007030606269836e-08
ETH Charters open at +48h,20260924,1.4551915228366852e-10,3.7229619920253754e-07,1.2759119272232056e-07
ETH Charters open at +48h,20260925,1.127773430198431e-10,2.6635825634002686e-07,4.284083843231201e-08
ETH Charters open at +48h,20260926,1.2732925824820995e-10,4.7404319047927856e-07,3.5390257835388184e-08
Buybacks and POL executed,20260915,2.1464074961841106e-10,4.002358764410019e-07,3.585591912269592e-08
Buybacks and POL executed,20260916,1.4915713109076023e-10,2.1886080503463745e-07,6.239861249923706e-08
Buybacks and POL executed,20260917,2.837623469531536e-10,3.6135315895080566e-07,9.220093488693237e-08
Buybacks and POL executed,20260918,2.219167072325945e-10,9.154900908470154e-07,3.3527612686157227e-08
Buybacks and POL executed,20260919,1.3096723705530167e-10,6.230548024177551e-07,5.8673322200775146e-08
Buybacks and POL executed,20260920,2.1827872842550278e-10,5.788169801235199e-07,5.3085386753082275e-08
Buybacks and POL executed,20260921,1.7462298274040222e-10,3.7439167499542236e-07,4.889443516731262e-08
Buybacks and POL executed,20260922,1.5643308870494366e-10,3.7194695323705673e-07,8.940696716308594e-08
Buybacks and POL executed,20260923,1.4551915228366852e-10,6.156042218208313e-07,7.729977369308472e-08
Buybacks and POL executed,20260924,1.6370904631912708e-10,4.5192427933216095e-07,4.190951585769653e-08
Buybacks and POL executed,20260925,1.127773430198431e-10,2.043088898062706e-07,6.938353180885315e-08
Buybacks and POL executed,20260926,1.0913936421275139e-10,1.1490192264318466e-07,3.166496753692627e-08
"Additional 3,000 ETH/day",20260915,5.165929906070232e-10,1.802109181880951e-07,3.259629011154175e-08
"Additional 3,000 ETH/day",20260916,2.473825588822365e-10,2.5436747819185257e-07,5.494803190231323e-08
"Additional 3,000 ETH/day",20260917,4.220055416226387e-10,5.403999239206314e-07,6.51925802230835e-08
"Additional 3,000 ETH/day",20260918,2.6193447411060333e-10,3.6228448152542114e-07,9.592622518539429e-08
"Additional 3,000 ETH/day",20260919,3.2014213502407074e-10,6.402842700481415e-07,9.96515154838562e-08
