strategy,side,trading_addresses,repeat_gap_observations,repeat_gap_p25_minutes,repeat_gap_median_minutes,repeat_gap_p75_minutes,single_trade_addresses,median_sale_fraction,full_exit_fraction_of_measured_sales
charter_owner,buy,268,1657,0.033769063154856366,0.2547419309616089,2.491321833928426,71,0.5,
charter_owner,sell,121,562,0.05270045598347982,0.3240162253379822,4.848200478156407,48,0.5999954999999999,0.3235294117647059
inactive_holder,buy,6720,16939,0.028741757074991863,0.20504687229792276,2.1906502624352773,3526,0.5,
inactive_holder,sell,3544,12235,0.030398901303609213,0.13184584379196168,1.5452773968378704,1958,0.5,
recent_buyer,buy,269,1452,0.10253007113933563,1.2258016248544057,28.891740586360296,101,0.5,
recent_buyer,sell,42,514,0.06769144137700399,0.32041547298431394,1.8084701041380564,10,0.5,
recent_seller,buy,312,1603,0.07695374488830567,0.49008562564849856,4.1337170720100405,117,0.5,
recent_seller,sell,448,1057,0.12288333177566528,0.977173912525177,14.224505929152171,313,0.9499980000000002,0.47479674796747967
two_way,buy,74,672,0.03133761783440908,0.4135152777036031,18.372442247470218,20,0.5,
two_way,sell,74,250,0.329873721798261,6.651033854484558,83.61176746189594,36,0.9749391780369205,0.5
