hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH,buy_pool_ETH,game_prefund_ETH,external_capital_ETH,spec_buy_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,owner_spec_buy_ETH,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens
0.0,0.0,2026-09-16T02:57:33+00:00,9.509060999603663e-05,0.0,62715168.74666107,6838.7985800381175,1153,1413081.8011091093,111.7189937774005,2359.222523915383,2166.6432875407877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.010416666666666666,2026-09-16T03:12:33+00:00,9.877535861336185e-05,0.03874986833588312,62848812.131802864,6774.6574158659805,1190,1197936.9089931643,111.7189937774005,2361.7318140485936,2237.6786912438065,16.10214527406802,21.02016713532703,177140.54310760397,9.0,46.0,39716.972068992814,339660.54192444414,425074.0170451887,41.7441151974357,92.05557083834552,51.80112233685001,9.403529664091906,0.325661457388968,4.287416847199193,45146.93739498649,20.0,0.0633569658207596,0.0,0.0
0.5,0.020833333333333332,2026-09-16T03:27:33+00:00,9.909510779977055e-05,0.042112442058167776,62909669.90059778,6781.2126986950625,1190,1205228.575659831,111.7189937774005,2361.8798270809625,2243.770033079484,0.0,0.47016062767443145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.561502463352051,0.0,12.79463769712702,2.99446707016555,0.45605580884419844,4808.31836056341,4.0,3.700943606724299,0.0,0.0
0.75,0.03125,2026-09-16T03:42:33+00:00,9.886088042357415e-05,0.03964924010577553,62864299.47831763,6787.196149428541,1190,1212520.2423264978,111.7189937774005,2362.1775979017043,2239.389935868214,0.0,7.680513128603707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.300415917333241,0.0,1.9011243429502072,1.8232620495254983,1.7645274013606513,18549.79326953487,10.0,1.5445092946920949,5.685570333384944,59820.0879384322
1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,9.873621238517219e-05,0.03833819542526351,62840250.51206949,6789.624289291118,1190,1219811.908993164,111.7189937774005,2362.254357056376,2237.040167325836,0.0,2.4740757576028045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12430721522508349,0.0,0.15513047487076043,0.006494097168452553,2.2354239045906157,23562.648438235115,9.0,0.12035,0.1644295802841043,1732.0813933228837
1.25,0.052083333333333336,2026-09-16T04:12:33+00:00,0.00010095186636287829,0.06163864515209183,63264058.01434493,6751.190880332753,1189,1219133.4103535519,111.7189937774005,2363.182895993939,2279.0398613173966,0.7224239106599134,1.4164833801692112,7620.71213107074,1.0,0.0,0.0,0.0,0.0,0.0,43.416177371729944,40.32239142664763,4.49482397075938,3.979830381240058,0.6515649681042214,6720.616833066207,9.0,0.0,0.0,0.0
1.5,0.0625,2026-09-16T04:27:33+00:00,0.00010115239149256941,0.06374742465933747,63300966.41982153,6755.7233468025415,1189,1226425.0770202186,111.7189937774005,2363.316380320881,2282.829824716033,0.0,1.1136715066863871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.903634905322564,0.0,8.45591419536682,5.003709087063839,1.0802613614857954,11137.644644261356,11.0,0.0,0.0,0.0
1.75,0.07291666666666667,2026-09-16T04:42:33+00:00,0.00010217009262394669,0.07444986027753031,63487267.17552088,6748.4984829104815,1189,1233716.7436868853,111.7189937774005,2363.7408847048323,2301.9741022686576,0.0,0.6706223728911027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.814899925515377,0.0,12.343918044516668,19.89099210644078,0.4983267893799575,5129.68477080137,7.0,0.328293531840218,0.1521769123244121,1558.8732539905955
2.0,0.08333333333333333,2026-09-16T04:57:33+00:00,0.00010021195345962936,0.05385750984041615,63122440.89597623,6799.117143644148,1189,1241008.4103535519,111.7189937774005,2364.988478265242,2265.4878120880385,0.0,39.5216091662719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03531898565248,0.0,15.379964113456325,0.12726427107395957,33.7228879972156,347197.1828905357,9.0,2.9699999999999998,4.613072894068146,47017.8296197573
2.25,0.09375,2026-09-16T05:12:33+00:00,9.996113597282661e-05,0.05121984154894976,63074954.8476475,6805.78817586364,1189,1248300.0770202186,111.7189937774005,2365.1578780225327,2260.793914916205,0.0,5.260925214195595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5670280423621448,0.0,2.1465348049491766,0.5786000432266784,5.103097457769727,53097.404992368254,10.0,0.0,0.0,0.0
