window_hours,from_utc_approx,to_utc,side,attributed_pool_eth,all_pool_eth,attribution_fraction,attributed_tokens,addresses,tx_count,new_to_canonical_pool_buy_eth,charter_owner_pool_eth
0.3333333333333333,2026-09-16T02:37:33+00:00,2026-09-16T02:57:33+00:00,buy,110.30921347177036,119.23547818583077,0.9251375106648321,1164087.9549970585,107,161,16.038033979860053,16.34260819970773
0.3333333333333333,2026-09-16T02:37:33+00:00,2026-09-16T02:57:33+00:00,sell,204.2349113705135,204.23491137051352,0.9999999999999999,2166440.371886702,40,56,0.0,24.900005100532134
2.0,2026-09-16T00:57:33+00:00,2026-09-16T02:57:33+00:00,buy,426.4023308758674,441.23716401527946,0.9663790035172596,3972257.1320174425,230,427,55.05169983109725,128.76742510666116
2.0,2026-09-16T00:57:33+00:00,2026-09-16T02:57:33+00:00,sell,651.6609558562777,672.3205848890694,0.9692711639400414,6319518.154761935,281,383,0.0,68.95500583315882
6.0,2026-09-15T20:57:33+00:00,2026-09-16T02:57:33+00:00,buy,709.5504091314292,725.5553990671586,0.977941050461058,6294420.721552905,398,754,196.80459800885768,167.55826831592722
6.0,2026-09-15T20:57:33+00:00,2026-09-16T02:57:33+00:00,sell,1242.6980757237598,1264.4039764899392,0.9828330967240104,11353148.99956176,547,765,0.0,110.9810796343419
12.0,2026-09-15T14:57:33+00:00,2026-09-16T02:57:33+00:00,buy,1311.7592142573365,1442.6926097549126,0.9092437331332699,10864516.105285652,800,1559,486.4855558800457,220.92287330917785
12.0,2026-09-15T14:57:33+00:00,2026-09-16T02:57:33+00:00,sell,2070.2404964589114,2124.0574911478298,0.9746631176824522,17751076.64169052,839,1241,0.0,370.43427488347845
24.0,2026-09-15T02:57:33+00:00,2026-09-16T02:57:33+00:00,buy,4789.43159276251,5055.666384028509,0.9473393275895204,33616646.51913801,2348,6851,2933.300574244946,529.3122801827085
24.0,2026-09-15T02:57:33+00:00,2026-09-16T02:57:33+00:00,sell,5502.875897760336,5651.866035322128,0.9736387705174437,40662866.55676133,2026,6735,0.0,1075.4753153643126
