case,seed,hours,elapsed_days,timestamp_utc,existing_10000_tokens_net_ETH,new_one_ETH_entry_net_return
Observed clocks; cautious beliefs,0,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
Observed clocks; cautious beliefs,0,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.9479151119196921,-0.03311364710034925
Observed clocks; cautious beliefs,0,3.0,0.125,2026-09-16T05:57:33+00:00,0.9552572948023816,-0.025624539965856452
Observed clocks; cautious beliefs,0,6.0,0.25,2026-09-16T08:57:33+00:00,0.8576124627281296,-0.12522336291669944
Observed clocks; cautious beliefs,0,12.0,0.5,2026-09-16T14:57:33+00:00,0.6499144934972492,-0.33707775609678725
Observed clocks; cautious beliefs,0,24.0,1.0,2026-09-17T02:57:33+00:00,0.807947060994702,-0.1758826472737064
Observed clocks; cautious beliefs,1,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
Observed clocks; cautious beliefs,1,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.9241561409935002,-0.05734806452444907
Observed clocks; cautious beliefs,1,3.0,0.125,2026-09-16T05:57:33+00:00,0.8400968839448932,-0.14308945451157795
Observed clocks; cautious beliefs,1,6.0,0.25,2026-09-16T08:57:33+00:00,0.7138599511087114,-0.27185261044360465
Observed clocks; cautious beliefs,1,12.0,0.5,2026-09-16T14:57:33+00:00,0.5991106770300303,-0.38889828414185557
Observed clocks; cautious beliefs,1,24.0,1.0,2026-09-17T02:57:33+00:00,0.6652679624348456,-0.3214170286252579
Observed clocks; cautious beliefs,2,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
Observed clocks; cautious beliefs,2,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.9274746471624848,-0.0539631515388328
Observed clocks; cautious beliefs,2,3.0,0.125,2026-09-16T05:57:33+00:00,0.8180621252471882,-0.1655651613442638
Observed clocks; cautious beliefs,2,6.0,0.25,2026-09-16T08:57:33+00:00,0.7481922049981949,-0.23683330162846694
Observed clocks; cautious beliefs,2,12.0,0.5,2026-09-16T14:57:33+00:00,0.6164923834478895,-0.3711687255130528
Observed clocks; cautious beliefs,2,24.0,1.0,2026-09-17T02:57:33+00:00,0.7085253567569816,-0.27729396083457913
Observed clocks; cautious beliefs,3,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
Observed clocks; cautious beliefs,3,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.9257637966666425,-0.0557082379558278
Observed clocks; cautious beliefs,3,3.0,0.125,2026-09-16T05:57:33+00:00,0.8734851018574908,-0.10903309126053506
Observed clocks; cautious beliefs,3,6.0,0.25,2026-09-16T08:57:33+00:00,0.7832445714543337,-0.20107947417980088
Observed clocks; cautious beliefs,3,12.0,0.5,2026-09-16T14:57:33+00:00,0.676540188448373,-0.30991922027775676
Observed clocks; cautious beliefs,3,24.0,1.0,2026-09-17T02:57:33+00:00,1.0403490858648956,0.061170015177517634
Stabilization; patient buyers,0,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
Stabilization; patient buyers,0,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.9494744648892675,-0.031523089968359286
Stabilization; patient buyers,0,3.0,0.125,2026-09-16T05:57:33+00:00,0.9314048674161404,-0.04995428348207498
Stabilization; patient buyers,0,6.0,0.25,2026-09-16T08:57:33+00:00,0.9155600650651832,-0.06611615724216335
Stabilization; patient buyers,0,12.0,0.5,2026-09-16T14:57:33+00:00,0.8670543688953057,-0.11559251153947114
Stabilization; patient buyers,0,24.0,1.0,2026-09-17T02:57:33+00:00,0.875691237415358,-0.10678280810785512
Stabilization; patient buyers,1,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
Stabilization; patient buyers,1,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.973832915738435,-0.006677196941645924
Stabilization; patient buyers,1,3.0,0.125,2026-09-16T05:57:33+00:00,0.9298217528786972,-0.05156907778303321
