case,seed,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH,buy_pool_ETH,game_prefund_ETH,external_capital_ETH,spec_buy_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,owner_spec_buy_ETH,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens,buyback_ETH
Observed clocks; cautious beliefs,0,50.60969567748006,1494.5538186054948,572413.3916434901,35,78.0,70422.49773646006,1003308.3527706634,695272.9053573646,70.41214334707766,1291.138168753051,312.8385776476279,750.5049090372903,855.5469281378913,1230.1523783730715,14824242.559797551,1222,78.69027816643583,168.95512999678004,2150306.297350729,0.0
Observed clocks; cautious beliefs,1,52.769331060585586,1763.8243868201541,606191.8200705637,50,46.0,42052.36890494306,283084.1186997038,479315.0434339717,46.67992219990703,1242.388897810933,287.91195864474525,737.4660249719216,879.354913294809,1497.2190354896375,19401713.022995796,1255,53.79697913700246,160.92128866532374,2130820.883026047,0.0
Observed clocks; cautious beliefs,2,50.2306983625178,1545.5357625855102,574889.3859947367,46,46.0,37783.26240996562,244564.88497475092,522103.38365389407,51.08389526019165,1122.470221586291,284.8230294860165,658.5750619831693,769.6322677189029,1241.0832434299139,15763193.982616385,1255,39.83858466376202,207.85574791551477,2888115.5211288542,0.0
Observed clocks; cautious beliefs,3,49.94138311604157,1056.442341660635,557612.896411033,36,146.0,157663.53827974998,3113537.824287447,547490.6729652546,56.36976963269896,1316.6321034177995,331.5797753396021,745.189084962358,865.8445538724297,755.1417394775332,9421335.560755314,1246,89.70804749996456,219.66594881724134,2914916.570373756,0.0
Stabilization; patient buyers,0,12.794267203148888,869.7132298831123,139898.7828671283,6,146.0,141883.74371739133,2784751.8411550284,891623.1876235679,80.77261165723824,802.5010103737641,213.76525386502064,724.9575889257407,475.8030479557413,743.1249552286085,8643606.286152733,838,48.537668536045125,87.70261055486294,976517.0159539705,0.0
Stabilization; patient buyers,1,25.92836331271001,802.333946876098,284431.5769690247,18,146.0,144210.33597983737,2624014.0924708806,1050205.007859353,98.31788630310619,830.1306992510291,225.93833284979073,700.3367291470894,496.8462771212277,580.3341031793942,6598762.733261576,806,25.969645818763347,172.0014619777103,1995412.798134766,0.0
Stabilization; patient buyers,2,11.80646646320089,872.4655917267198,128838.27733092406,5,146.0,164562.05683608374,2992297.7645144146,661384.8840066381,60.99612263746741,718.8989184539838,256.3139442617562,709.7876104504431,405.61293190680806,694.2445432539022,8046761.834032964,767,10.647326147012416,140.24061425781525,1534031.3340151815,0.0
Stabilization; patient buyers,3,23.25174396713627,726.4124155903878,255994.4896375576,13,146.0,138606.13902778094,2664256.579755902,1015495.1878994294,95.70635297464156,762.5543278790873,228.46663198193727,686.7457426184526,442.9416449269635,542.0743599085272,6138821.228763564,793,11.002031217568614,139.29393924701296,1585325.1520289558,0.0
Speculative recovery,0,16.694995519458047,1246.370803762752,152346.36567848214,8,146.0,121281.93240434481,2740834.4508611946,956170.5943751559,108.72894162120674,1724.5417463508745,314.04425976421277,1416.287861912426,1236.6689018748511,1073.193993611794,8241869.037881235,676,100.29437260796814,119.09069051861827,894270.3623840386,0.0
Speculative recovery,1,46.24631464530965,1250.380048613922,361167.2910905406,20,146.0,150099.1685365839,3438058.288635237,230300.76086442918,36.228369433503346,2265.7678030157026,349.78642295650013,1388.9680070300465,1774.7264415062289,948.1454349073966,7396521.924747774,586,151.26672836469598,218.47689760279965,1595207.5123850477,0.0
