case,seed,ending_price_return,peak_return,hindsight_peak_hours,hindsight_peak_utc,branches_end,licenses,retired,license_fresh_ETH,game_prefund_ETH,spec_buy_ETH,spec_sell_ETH,buyback_ETH,branch_sell_ETH,new_capital_ETH
Observed clocks; cautious beliefs,0,-0.11499891681736418,0.1591157123997895,22.25,2026-09-17T01:12:33+00:00,1196,78,35,70.41214334707766,312.8385776476279,934.2372063043272,1399.1075083698515,0.0,50.60969567748006,750.5049090372903
Observed clocks; cautious beliefs,1,-0.2713016312472142,0.10506409752494483,20.75,2026-09-16T23:42:33+00:00,1149,46,50,46.67992219990703,287.91195864474525,933.1518924318115,1658.1403241549613,0.0,52.769331060585586,737.4660249719216
Observed clocks; cautious beliefs,2,-0.22391436704878787,0.08874410298975377,20.75,2026-09-16T23:42:33+00:00,1153,46,46,51.08389526019165,284.8230294860165,809.4708523826649,1448.9389913454286,0.0,50.2306983625178,658.5750619831693
Observed clocks; cautious beliefs,3,0.13960315570986004,0.21239759610097497,22.75,2026-09-17T01:42:33+00:00,1263,146,36,56.36976963269896,331.5797753396021,955.5526013723943,974.8076882947745,0.0,49.94138311604157,745.189084962358
Stabilization; patient buyers,0,-0.040784713577865284,0.06823586437336959,0.25,2026-09-16T03:12:33+00:00,1293,146,6,80.77261165723824,213.76525386502064,524.3407164917865,830.8275657834715,0.0,12.794267203148888,724.9575889257407
Stabilization; patient buyers,1,0.010705625633949056,0.06950199845125304,0.75,2026-09-16T03:42:33+00:00,1281,146,18,98.31788630310619,225.93833284979073,522.815922939991,752.3355651571045,0.0,25.92836331271001,700.3367291470894
Stabilization; patient buyers,2,-0.08611758645615109,0.0889175585044848,0.5,2026-09-16T03:27:33+00:00,1294,146,5,60.99612263746741,256.3139442617562,416.26025805382045,834.4851575117175,0.0,11.80646646320089,709.7876104504431
Stabilization; patient buyers,3,0.01567858470069039,0.05591886179282657,0.25,2026-09-16T03:12:33+00:00,1286,146,13,95.70635297464156,228.46663198193727,453.9436761445321,681.3682991555402,0.0,23.25174396713627,686.7457426184526
Speculative recovery,0,0.2834095846378797,0.6530731327108448,8.5,2026-09-16T11:27:33+00:00,1291,146,8,108.72894162120674,314.04425976421277,1336.9632744828193,1192.2846841304122,0.0,16.694995519458047,1416.287861912426
Speculative recovery,1,0.69335676536821,0.6993912296629716,22.75,2026-09-17T01:42:33+00:00,1279,146,20,36.228369433503346,349.78642295650013,1925.993169870925,1166.6223325101962,0.0,46.24631464530965,1388.9680070300465
Speculative recovery,2,0.460180555636839,0.631610002318252,10.0,2026-09-16T12:57:33+00:00,1288,146,11,28.16132113571918,319.4894589374842,1833.2345240440145,1342.0572252875243,0.0,30.632505171655907,1269.8359050192703
Speculative recovery,3,0.6430389664328853,0.664697548362867,23.5,2026-09-17T02:27:33+00:00,1285,146,14,34.741278887218506,324.65837258171393,1793.5304649355926,1090.3371668593547,0.0,32.19863857103495,1358.078973560274
Replacement selling accelerates,0,-0.5731247060718443,0.0,0.0,2026-09-16T02:57:33+00:00,1156,53,50,10.832425944749348,0.8369314253878234,349.41113288897736,1433.4787925232254,0.0,53.92769904378259,323.75788781083753
Replacement selling accelerates,1,-0.6531407324279175,0.0,0.0,2026-09-16T02:57:33+00:00,1134,60,79,24.857597476819862,3.9461341462226667,243.98999215824207,1543.3295368620581,0.0,55.02153706149673,380.1951301117005
Replacement selling accelerates,2,-0.6152905770311461,0.0,0.0,2026-09-16T02:57:33+00:00,1153,56,56,11.722929923927621,4.643351596201126,297.35706085428967,1487.8826832524198,0.0,54.69124530914437,386.0831734490652
Replacement selling accelerates,3,-0.5932843151454587,0.0,0.0,2026-09-16T02:57:33+00:00,1176,65,42,5.087021299429687,6.025605685616681,305.7231783674474,1439.5532521114342,0.0,53.25230342756949,345.7319641080478
Owner executes buybacks,0,-0.16007419003418177,0.13984051679407372,21.0,2026-09-16T23:57:33+00:00,1151,46,48,41.74411519743382,314.16656528399443,928.0352552580986,1543.4434035026006,100.16360929004912,54.81542628072213,668.8416034294154
