strategy,side,trading_addresses,repeat_gap_observations,repeat_gap_p25_minutes,repeat_gap_median_minutes,repeat_gap_p75_minutes,single_trade_addresses,median_sale_fraction,full_exit_fraction_of_measured_sales
charter_owner,buy,277,1706,0.033780253926912945,0.26520233551661176,2.612118364373843,75,0.5,
charter_owner,sell,123,583,0.05352227886517842,0.3675950010617574,5.887625002861023,48,0.33333333333333337,0.22448979591836735
inactive_holder,buy,6753,16827,0.03152542312939962,0.22396774291992189,2.3226041078567503,3559,0.5,
inactive_holder,sell,3639,11949,0.032346681753794355,0.15380522807439168,1.7594749212265015,2047,0.5,
recent_buyer,buy,294,1358,0.1286533792813619,1.9533100008964537,46.75172809859117,112,0.5,
recent_buyer,sell,47,195,0.1282630443572998,0.879498545328776,5.151786577701568,15,0.5,
recent_seller,buy,330,1920,0.01538709799448649,0.22646789153416952,3.353621514638265,119,0.5,
recent_seller,sell,488,1632,0.036840832233428954,0.1522168457508087,3.8638158639272056,327,0.9000000000000001,0.45774647887323944
two_way,buy,94,780,0.05621695121129354,0.45874073505401614,15.568365461627643,26,0.5,
two_way,sell,94,494,0.04124414424101512,0.8882279932498932,21.25864399075508,48,0.75,0.45121951219512196
