hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,external_capital_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens,spec_buy_ETH,buy_pool_ETH,owner_spec_buy_ETH,game_prefund_ETH
0.0,0.0,2026-09-16T05:40:47+00:00,0.00010378905557457029,0.0,63642272.93315973,6801.443217341569,1199,1437620.306819074,111.7189937774005,2375.874075210391,2333.914639635399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.010416666666666666,2026-09-16T05:55:47+00:00,9.816118550907541e-05,-0.054224118663950716,63171447.13570744,6952.067602207716,1136,780780.821835245,111.7189937774005,2379.046675223169,2228.161305876127,57.6487250662672,105.75333375927221,587468.4720716991,63.0,48.04365111965345,29.933312973896847,314685.2708119692,26.0,14.998695706329993,156140.52664032683,0.0,0.0,0.0,0.0
0.5,0.020833333333333332,2026-09-16T06:10:47+00:00,9.72303449254569e-05,-0.06319269997019183,62987768.833683155,6973.833211410766,1136,788072.4885019116,111.7189937774005,2379.5796235657313,2210.39636112406,0.0,17.76494475206664,0.0,0.0,4.533612793544992,14.347845617014501,153027.38154033478,21.0,2.8841507924901406,30650.92048394764,0.0,0.0,0.0,0.0
0.75,0.03125,2026-09-16T06:25:47+00:00,9.616926218745146e-05,-0.07341615495907627,62775348.40545772,7000.091415426991,1136,795364.1551685784,111.7189937774005,2380.189682811959,2190.061052916513,0.0,20.335308207547314,0.0,0.0,6.5329550549044555,16.123031065248874,173592.71711152166,29.0,3.60221789607202,38827.71111391191,0.0,0.0,0.0,0.0
1.0,0.041666666666666664,2026-09-16T06:40:47+00:00,9.53236657649763e-05,-0.0815634149740555,62603551.55477275,7019.520948462086,1136,802655.821835245,111.7189937774005,2380.6782115958526,2173.7767601200558,0.0,16.284292796457066,0.0,0.0,3.6337690225321455,14.578428248396921,158552.1183867978,16.0,1.2173357641664326,13244.73229817142,0.0,0.0,0.0,0.0
1.25,0.052083333333333336,2026-09-16T06:55:47+00:00,9.301021783780258e-05,-0.10385331745333526,62284529.40659481,7070.050793477496,796,534579.355393671,111.7189937774005,2382.025894250029,2128.854004980874,14.848568811811955,44.922755139181845,162887.41867001008,340.0,6.954772530403346,22.088369521869325,244952.96377284636,16.0,6.6381341513251115,74069.18440509125,0.0,0.0,0.0,0.0
1.5,0.0625,2026-09-16T07:10:47+00:00,9.237967751159757e-05,-0.10992852762568317,62150040.01381773,7083.510404421642,796,541871.0220603375,111.7189937774005,2382.3961467791123,2116.5122540114035,0.0,12.341750969470468,0.0,0.0,1.488112503759174,11.420562929282234,128302.98278767086,30.0,0.5509355111041213,6186.409989406902,0.0,0.0,0.0,0.0
1.75,0.07291666666666667,2026-09-16T07:25:47+00:00,9.15643290576538e-05,-0.11778435066434612,61974077.062671304,7120.272362299454,796,549162.6887270043,111.7189937774005,2382.876796911258,2100.4905829398795,0.0,16.021671071523997,0.0,0.0,21.220936938432896,7.5462654685481,85247.64974608296,27.0,7.994755470830177,90715.30140034674,0.0,0.0,0.0,0.0
2.0,0.08333333333333333,2026-09-16T07:40:47+00:00,8.67817579573005e-05,-0.1638640752930871,60892745.98722937,7258.252395139523,796,556454.355393671,111.7189937774005,2385.7396150358168,2005.0633121212727,0.0,95.42727081860676,0.0,0.0,45.41558014602175,92.07906211132017,1075806.490594567,28.0,0.485390582728378,5524.58484735983,0.0,0.0,0.0,0.0
2.25,0.09375,2026-09-16T07:55:47+00:00,8.642031328112167e-05,-0.16734656845364138,60813273.32385645,7272.331818114259,780,550678.0275357253,111.7189937774005,2385.959046764073,1997.7489211794414,0.4867357328015031,7.314390941831334,5841.440706913816,16.0,6.984463761158805,6.230725840238997,74936.8983029133,20.0,0.37749764053589385,4535.765070017344,0.0,0.0,0.0,0.0
2.5,0.10416666666666667,2026-09-16T08:10:47+00:00,8.537778771628371e-05,-0.17739122642905691,60564179.02128507,7299.0821492423665,780,557969.6942023921,111.7189937774005,2386.5945249266133,1976.5663157613635,0.0,21.182605418077856,0.0,0.0,6.203203872571846,12.181404053800938,147318.9282338603,25.0,8.365723201734578,101775.3743375123,0.0,0.0,0.0,0.0
2.75,0.11458333333333333,2026-09-16T08:25:47+00:00,8.341716190607541e-05,-0.19628171347852852,60083358.47032282,7342.379348740681,780,565261.3608690589,111.7189937774005,2387.7996738787906,1936.394684022098,0.0,40.17163173926542,0.0,0.0,4.33071671122781,37.90576727584411,467624.94538205833,26.0,1.060715511243352,13195.60558019811,0.0,0.0,0.0,0.0
3.0,0.125,2026-09-16T08:40:47+00:00,8.32417502706218e-05,-0.19797179182525337,60039533.12542058,7354.827140476308,780,572553.0275357254,111.7189937774005,2387.908136500675,1932.7792632926219,0.0,3.6154207294762273,0.0,0.0,8.940833628035014,2.976854671709517,37204.86766358498,17.0,0.5301034358824245,6620.477238654461,0.0,0.0,0.0,0.0
3.25,0.13541666666666666,2026-09-16T08:55:47+00:00,8.281021869645433e-05,-0.2021295671492367,59931126.00099292,7365.256608802583,780,579844.6942023921,111.7189937774005,2388.1754536624408,1923.868691233785,0.0,8.910572058836806,0.0,0.0,1.7862134292038108,8.33405824862898,104519.54653306254,22.0,0.30919664844272343,3887.5778946020246,0.0,0.0,0.0,0.0
