hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,external_capital_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,spec_buy_ETH,buy_pool_ETH,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens,owner_spec_buy_ETH
0.0,0.0,2026-09-16T05:40:47+00:00,0.00010378905557457029,0.0,63642272.93315973,6801.443217341569,1199,1437620.306819074,111.7189937774005,2375.874075210391,2333.914639635399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.010416666666666666,2026-09-16T05:55:47+00:00,0.00010226490803341461,-0.014685050680132705,63610753.134987935,6830.970275897744,1185,1188686.8968252495,111.7189937774005,2376.7263741918305,2305.523589842098,24.44154631340184,28.402307645284964,246841.4165695233,14.0,1.9883077443138686,3.108692102524574,31628.727168733996,7.0,0.0114876040652718,0.011257851983966364,0.0,0.0,0.0
0.5,0.020833333333333332,2026-09-16T06:10:47+00:00,0.00010188935854683626,-0.018303442662787606,63541158.794093914,6841.376992704316,1185,1195978.5634919158,111.7189937774005,2376.998601557108,2298.5151256161216,0.0,8.237896811567225,0.0,0.0,3.6704799458737507,7.984312394296084,81461.07663891681,12.0,1.254523046521347,1.22943258559092,0.006447512924123657,65.8808319582139,0.0
0.75,0.03125,2026-09-16T06:25:47+00:00,0.00010149647882928069,-0.02208881016016595,63468064.73037067,6853.709606822138,1185,1203270.2301585826,111.7189937774005,2377.22037446171,2291.1567252087407,0.0,7.378652928273368,0.0,0.0,5.195986615041672,4.007470735003025,41005.30696824264,11.0,0.020665837645191733,0.0202525208922879,3.149822605422141,32285.94869068953,0.0
1.0,0.041666666666666664,2026-09-16T06:40:47+00:00,9.962008444682086e-05,-0.040167733530960925,63113368.72212609,6891.399888890727,1185,1210561.8968252493,111.7189937774005,2378.285756012356,2255.8496835600777,0.0,35.4294484333459,0.0,0.0,3.4486219705730194,19.077477633457327,198181.95852031346,17.0,0.0045548823290398,0.122406784682459,15.289087346888195,157719.69845238604,0.12035
1.25,0.052083333333333336,2026-09-16T06:55:47+00:00,9.809464523011287e-05,-0.05486522941107319,63007758.36779849,6933.498243121312,1170,1003458.8249403432,111.7189937774005,2379.154005568589,2226.9080316856607,18.09749477069562,28.941651874416948,190117.33842351782,15.0,14.02495191240016,9.378119302993696,99265.49448327761,13.0,0.0,0.0,0.5977882444951274,6344.859844321257,0.0
1.5,0.0625,2026-09-16T07:10:47+00:00,9.783945913032043e-05,-0.05732392891825855,62957613.39403997,6941.732551646475,1170,1010750.4916070094,111.7189937774005,2379.2999083360905,2222.0446061023326,0.0,4.86342558332808,0.0,0.0,3.516785709334676,4.382000337945811,46579.14303751631,22.0,0.0,0.0,0.33552247788242767,3565.830721003135,0.0
1.75,0.07291666666666667,2026-09-16T07:25:47+00:00,9.740549681819947e-05,-0.061505124225591956,62871885.37586035,6953.375586324826,1170,1018042.1582736763,111.7189937774005,2379.5488678979036,2213.7594950602706,0.0,8.293169866744392,0.0,0.0,3.606883198100819,5.749563220559671,61336.63826378186,15.0,0.008223290492288673,0.0080588246824429,2.2948115501823896,24472.97508042072,0.0
2.0,0.08333333333333333,2026-09-16T07:40:47+00:00,9.702020419120888e-05,-0.06521739065732346,62795312.635255545,6972.097460129144,1170,1025333.824940343,111.7189937774005,2379.769950029386,2206.390090677559,0.0,7.369404382711764,0.0,0.0,11.573551553087709,7.142487287852077,76510.15381445308,13.0,0.0,0.0,0.0058349633783336685,62.58679036030321,0.0
2.25,0.09375,2026-09-16T07:55:47+00:00,9.653482947119305e-05,-0.06989394077456679,62739121.99278234,6989.82606346109,1163,983307.519301945,111.7189937774005,2380.0488687027555,2197.092801565216,3.8017978334829645,9.297289112342696,40848.74187333098,7.0,8.710232892973702,3.2987742662638717,35547.177083540504,18.0,0.0,0.0,1.9177983392255782,20643.4653896581,0.0
2.5,0.10416666666666667,2026-09-16T08:10:47+00:00,9.651876496007139e-05,-0.07004872117056071,62735897.758768484,6991.355404058362,1163,990599.1859686119,111.7189937774005,2380.058112084714,2196.7846888332792,0.0,0.30811273193694433,0.0,0.0,1.2304712472934092,0.2953724256241003,3186.511542794487,7.0,0.0,0.0,0.0034969243547357106,37.722471062936954,0.0
2.75,0.11458333333333333,2026-09-16T08:25:47+00:00,9.62715066592004e-05,-0.07243103691187058,62686169.926021665,7001.982728183912,1163,997890.8526352784,111.7189937774005,2380.2004795470043,2192.039106756981,0.0,4.745582076298433,0.0,0.0,6.024109511540399,3.9086892891077563,42228.72650265069,10.0,0.0,0.0,0.6945253249017241,7499.106244162205,0.0
3.0,0.125,2026-09-16T08:40:47+00:00,9.55653506966559e-05,-0.07923479823945234,62543042.09529239,7018.903816232116,1163,1005182.519301945,111.7189937774005,2380.6305329300917,2178.4568110254572,0.0,14.030328543672567,0.0,0.0,3.7688456997694875,10.755827936776198,116690.7055927381,20.0,0.45717633892743775,0.448032812148889,2.8535907505861906,31068.713582390432,0.0
3.25,0.13541666666666666,2026-09-16T08:55:47+00:00,8.599936161059618e-05,-0.17140240717570243,60434367.27180999,7202.66256326439,1163,1012474.1859686114,111.7189937774005,2386.4354831609226,1989.2550874968854,0.0,191.758819772979,0.0,0.0,0.3619737345326384,186.00450882003022,2138065.6799708027,13.0,2.351178681227498,2.5570962444071843,0.0015463597593679877,18.747765610405544,0.258103200820649
3.5,0.14583333333333334,2026-09-16T09:10:47+00:00,8.564765013140894e-05,-0.17479112169131472,60350223.248601615,7212.110393338228,1163,1019765.8526352784,111.7189937774005,2386.649962302244,1982.105782786197,0.0,7.149304710688284,0.0,0.0,2.513004504470019,6.06254215430493,73564.4026150128,21.0,0.0,0.0,0.8722834150627046,10579.620593355005,0.0
3.75,0.15625,2026-09-16T09:25:47+00:00,8.51927735110804e-05,-0.17917382483675115,60240626.027762115,7229.278298233898,1163,1027057.5193019449,111.7189937774005,2386.928007305888,1972.837615998037,0.0,9.268166788159988,0.0,0.0,8.177783111153751,8.867257503020545,108095.59568180388,16.0,0.0,0.0,0.122864281494642,1501.6251576877958,0.0
4.0,0.16666666666666666,2026-09-16T09:40:47+00:00,8.457922263508398e-05,-0.18508534289229017,60091399.85377839,7246.850796639133,1163,1034349.1859686114,111.7189937774005,2387.3042210667427,1960.2971573028483,0.0,12.540458695188818,0.0,0.0,5.40825347090276,11.82997913332942,145111.48840817317,12.0,0.0,0.0,0.3342658010037348,4114.68557556679,0.0
