charter_id,licenses,paid_tokens,tx,block
160,1,15334.907994468847,0xf5b729e08b4e0e251976cc515fa7422d5c36ffe833b9677a7ed107331aeffa57,64197633
264,1,15234.421044684357,0x59fb124878f9b2a99f616d8c5aad6f28459ae20f3db9424b40329ca987bf536d,64199127
972,1,15103.995387396797,0x67ee492b256b07e47824297f3d4d327fd8b6d86c2dd1e7ec67ffdc38c1cc6f9c,64201060
972,1,15093.348041600673,0x4ab8a121a9c468102988702048c880da7b07fff9fd4fecc06134767c368d8b8a,64201223
972,1,15085.367911906622,0x57cc695aae28314aebfe894f78767be877fd707a3959f576a48eb6e6778920fe,64201336
664,1,15077.392390385216,0xfbb66f65e503f93a342579ae4ce60cb50644f0df0742a672e009537c6ef963e5,64201456
664,1,15071.413771756632,0xb6fa82e1a1b7601e0cebcd5118fcb384321761d55fe58f1f596d68f3131cffc1,64201546
664,1,15066.1016180046,0xe9dfdd5eef83299432ef92ff6e08ab31a8c45ca1b4087cce7b79cdf92748620f,64201630
982,1,15052.83017973847,0xf2ce46ca8dc21a00edbcae4b27712098af371c8f2f3c8ad59969f573f430a0ad,64201820
772,1,14951.725299140431,0x6b85f57ec00482ed057987b2c7f64e15b013e132bea55f56cd950f8b6b21c982,64203352
189,1,14928.701194672749,0x5c4e5ac52130012cf9ca9f604d68138b7c7676515ee35f636fb09f1805be1a6b,64203702
172,1,14863.131374502145,0x79f2f40d47c631c0ebf082aad97d2bb8801d2115bde637fc06d8dc24c80ed791,64204695
498,1,14826.549904556143,0xd0288bc5e515b91c5b680aa9de31e3f2a67df9f23ae1f1d37eb2adefcd701c7f,64205253
317,1,14825.897559754923,0x50f07382560e644f05b1531fc64750833d55c72e53cc6b080e1a08d4a94687fb,64205268
508,1,14809.599140797616,0x676436e6c6bad1a80d6b98686887b7247efae9523accc836f8f4d19938ec576a,64205509
841,1,14803.08526292846,0xf1850fdf185905f1f93c8d3499ae6b730ce6a7b498441e3490d6720db8487ec8,64205614
508,1,14797.876417700347,0x4e362a150340dab986c09bdc54667ef281f6f2e2a986eb3d7738c8d7ff423d19,64205690
498,1,14793.971099894885,0x2f99d4b249ffd1ef6ece493193f8ecbd406761a92caa02dd9b3bb4e53a10f3f7,64205748
814,1,14792.018863913941,0x3e03039d82b57f66dc990f1a3a06fa4498283c41719b99ce8d5e69adce5ed040,64205785
92,1,14790.066909826573,0x5954ee86f97dcc2bb160561a6ef456954b0fb48ac082c39e24b75966a8b37d69,64205811
811,1,14790.066909826573,0xfe2f7f1cf86dbd423124b641773ba03113dcecf457cebe46cdc9f4c2ef09ffe9,64205812
150,1,14780.311366368944,0xc4fcee2be75986fb3a4c94de8259bc2e7fd514531bb14dfe38153b20fe1f1706,64205969
596,1,14780.311366368944,0x0cfe2866589679c3b92d3834528b233f313036a503ec169565f88d14166ad479,64205971
825,1,14780.311366368944,0xd9bff2259506645c7e2faff709c93eff9f41b6c45f72db5976b34465afe666f2,64205976
128,1,14779.661247216407,0xe8fd9373dee9aee782e47004129315a970bee9552d684c43445932a559daf32f,64205987
667,1,14778.361102788454,0xa06e651ab4285aa6f41c34942c990b3331a38be48c236c461fe32c6b46ab397c,64206000
941,1,14778.361102788454,0xe2eab2f6f883cbee9ecf3b3c54f23ef37e29442fbe88e0bc22bae6688e4e59e0,64206000
760,1,14777.061083519957,0xa73372fb8616001904e01a3296c94cc96bc9ff628e03a67619526fc7e17b98bd,64206028
906,1,14776.411120816738,0x427e5bb16e7fc62fc512998ae4b2908e44f7989b7864459f8a3868ffeae4bc69,64206029
38,1,14776.411120816738,0x3a9a70cfa91f277f56f1e0457c86f04ed397b2728e67984ef23a716cf50cf4fc,64206031
841,1,14775.111289264829,0xe786f3e0dd55ac95b8c892e0014274462ab69a3ff0a9d565862259578225a785,64206053
101,1,14775.111289264829,0x75f3d36eaf3529ac8862615db47dd589fe1e1c8a6edd676bc145034867f6bf65,64206054
766,1,14774.461420413127,0x2a4179800727584e55af7051b569fdda16719c698f9ffbf92dd729b5675f6f79,64206064
688,1,14771.862257799545,0x8a264006fb0ab81ea8fcc4132a053e4be057a97fcbd9392a1bdc837051fa99b0,64206106
444,1,14771.212545336926,0x0738d0df5e404f02af518cd3afca5359fb66b07519523f2b537fef6af20eec03,64206114
814,1,14771.212545336926,0x4a042791d6882721ddda4c9f02239ed8f6683ae3f2a8917de0c2d690e34b4eed,64206114
698,1,14769.263595582854,0x8383fedf407e23e2fcbdbe1db0bab0c1025aa2e4e2de24cd79da32e1c98ec2d9,64206141
