case,seed,hours,timestamp_utc,previous_path_return_at_new_pin,observed_return,error_percentage_points
Observed clocks; cautious beliefs,0,2.7205555555555554,2026-09-16T05:40:47+00:00,0.04675931512532186,0.09147533682764486,-4.4716021702323
Observed clocks; cautious beliefs,1,2.7205555555555554,2026-09-16T05:40:47+00:00,-0.0709206487529161,0.09147533682764486,-16.239598558056095
Observed clocks; cautious beliefs,2,2.7205555555555554,2026-09-16T05:40:47+00:00,-0.09969087667329832,0.09147533682764486,-19.116621350094317
Observed clocks; cautious beliefs,3,2.7205555555555554,2026-09-16T05:40:47+00:00,-0.03427547365631604,0.09147533682764486,-12.57508104839609
Stabilization; patient buyers,0,2.7205555555555554,2026-09-16T05:40:47+00:00,0.018212969692328357,0.09147533682764486,-7.32623671353165
Stabilization; patient buyers,1,2.7205555555555554,2026-09-16T05:40:47+00:00,0.020591698109628853,0.09147533682764486,-7.088363871801601
Stabilization; patient buyers,2,2.7205555555555554,2026-09-16T05:40:47+00:00,0.020365130806105643,0.09147533682764486,-7.111020602153922
Stabilization; patient buyers,3,2.7205555555555554,2026-09-16T05:40:47+00:00,-0.041872583633868345,0.09147533682764486,-13.33479204615132
Speculative recovery,0,2.7205555555555554,2026-09-16T05:40:47+00:00,0.38146934155924717,0.09147533682764486,28.99940047316023
Speculative recovery,1,2.7205555555555554,2026-09-16T05:40:47+00:00,0.37948095422294903,0.09147533682764486,28.800561739530416
Speculative recovery,2,2.7205555555555554,2026-09-16T05:40:47+00:00,0.35788030797223597,0.09147533682764486,26.640497114459112
Speculative recovery,3,2.7205555555555554,2026-09-16T05:40:47+00:00,0.3466211576596563,0.09147533682764486,25.51458208320114
Replacement selling accelerates,0,2.7205555555555554,2026-09-16T05:40:47+00:00,-0.18572223903186025,0.09147533682764486,-27.71975758595051
Replacement selling accelerates,1,2.7205555555555554,2026-09-16T05:40:47+00:00,-0.18796016778957378,0.09147533682764486,-27.943550461721866
Replacement selling accelerates,2,2.7205555555555554,2026-09-16T05:40:47+00:00,-0.18478729483837258,0.09147533682764486,-27.626263166601746
Replacement selling accelerates,3,2.7205555555555554,2026-09-16T05:40:47+00:00,-0.18668448762599257,0.09147533682764486,-27.81598244536374
Owner executes buybacks,0,2.7205555555555554,2026-09-16T05:40:47+00:00,0.09102613516848794,0.09147533682764486,-0.04492016591569198
Owner executes buybacks,1,2.7205555555555554,2026-09-16T05:40:47+00:00,-0.029252660221615257,0.09147533682764486,-12.07279970492601
Owner executes buybacks,2,2.7205555555555554,2026-09-16T05:40:47+00:00,-0.07577813472605555,0.09147533682764486,-16.72534715537004
Owner executes buybacks,3,2.7205555555555554,2026-09-16T05:40:47+00:00,-0.020391684101031576,0.09147533682764486,-11.186702092867645
Crowded bank-exit expectations,0,2.7205555555555554,2026-09-16T05:40:47+00:00,-0.19453392988231535,0.09147533682764486,-28.600926670996017
Crowded bank-exit expectations,1,2.7205555555555554,2026-09-16T05:40:47+00:00,-0.2341700657938709,0.09147533682764486,-32.564540262151574
Crowded bank-exit expectations,2,2.7205555555555554,2026-09-16T05:40:47+00:00,-0.15616479921869128,0.09147533682764486,-24.764013604633615
Crowded bank-exit expectations,3,2.7205555555555554,2026-09-16T05:40:47+00:00,-0.17352184670178916,0.09147533682764486,-26.499718352943404
No branch expansion,0,2.7205555555555554,2026-09-16T05:40:47+00:00,-0.11326883449950179,0.09147533682764486,-20.474417132714663
No branch expansion,1,2.7205555555555554,2026-09-16T05:40:47+00:00,-0.16905874768176132,0.09147533682764486,-26.05340845094062
No branch expansion,2,2.7205555555555554,2026-09-16T05:40:47+00:00,-0.13430803352170467,0.09147533682764486,-22.578337034934954
No branch expansion,3,2.7205555555555554,2026-09-16T05:40:47+00:00,-0.1864142149164284,0.09147533682764486,-27.788955174407327
No new outside capital,0,2.7205555555555554,2026-09-16T05:40:47+00:00,0.024576607738909153,0.09147533682764486,-6.6898729088735704
No new outside capital,1,2.7205555555555554,2026-09-16T05:40:47+00:00,-0.1137946311361122,0.09147533682764486,-20.526996796375705
No new outside capital,2,2.7205555555555554,2026-09-16T05:40:47+00:00,0.03587320755544432,0.09147533682764486,-5.560212927220054
No new outside capital,3,2.7205555555555554,2026-09-16T05:40:47+00:00,0.01015734084061973,0.09147533682764486,-8.131799598702512
