fraction_recent_seller_stock_sold,target_spot_return,required_gross_buyer_ETH
0.0,0.0,0.0
0.0,0.1,187.1957880272885
0.0,0.25,430.19299858346005
0.0,0.5,806.672922751089
0.0,1.0,1479.3058689443642
0.25,0.0,111.96423144027996
0.25,0.1,299.1600194675685
0.25,0.25,542.15723002374
0.25,0.5,918.637154191369
0.25,1.0,1591.2701003846441
0.5,0.0,217.7725223799597
0.5,0.1,404.96831040724817
0.5,0.25,647.9655209634197
0.5,0.5,1024.4454451310487
0.5,1.0,1697.078391324324
1.0,0.0,412.8313088610299
1.0,0.1,600.0270968883184
1.0,0.25,843.02430744449
1.0,0.5,1219.504231612119
1.0,1.0,1892.137177805394
