case,seed,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,game_prefund_ETH,buy_pool_ETH,external_capital_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,spec_buy_ETH,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens,owner_spec_buy_ETH,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH,buyback_ETH
Observed clocks; cautious beliefs,0,56.41416303019858,1897.1347678367256,594006.8157204547,67.0,301.12014156137127,1349.545036014634,1165.9627948925913,1464.994350095981,15322026.026168743,990,954.0170169208158,318.81221167544834,3536729.85532374,121.94961296130917,0.0,0.0,0.0,0.0,0.0,0.0
Observed clocks; cautious beliefs,1,58.87371473922955,1602.7183998278647,616045.2851061727,90.0,303.3200961827396,1366.2923902729663,1196.3909528448514,1401.9619487983418,14340053.469618646,956,930.0660739972858,93.80118429546006,997643.7924302808,148.44121787414852,100.0,125778.56246369798,2452035.521863809,90220.73626295477,12.348520387625552,0.0
Observed clocks; cautious beliefs,2,62.04632658179928,1604.2601351721046,632287.3531123197,103.0,297.1384707983509,1360.2127564044838,935.1083751409118,1352.8521778105876,13602983.29159633,907,905.5696651935464,141.23382672455597,1525084.9881672536,182.00726488212618,100.0,125814.33639173099,2519619.827086151,22547.07668036595,3.256799538711713,0.0
Observed clocks; cautious beliefs,3,44.112910075935424,785.9797305389031,452117.5243714678,38.0,343.25807876884494,1483.3438131975809,991.9830716111537,580.9656931758079,6592722.008891466,946,915.1771001078544,137.32173537099186,1527256.2306238362,171.66122419960521,100.0,105347.55839102842,1372049.8264955033,963500.568123579,83.5197328395943,0.0
Stabilization; patient buyers,0,10.00334300691788,538.243606153867,100094.87135059849,7.0,226.04313138372714,579.5048864284333,1147.1838416394435,457.39801953550693,4554138.5288641155,626,302.9470611336845,54.694935426826646,538725.2642034381,24.254864705590652,100.0,121873.13943396731,2181343.5296381344,364322.33474015817,38.086459540704794,0.0
Stabilization; patient buyers,1,23.98673960426465,645.7602857948268,240919.05419213,16.0,222.73780967509683,628.0271535487836,1102.5307071025845,539.2220284485286,5549210.624558909,596,311.0822215248334,63.17870916818939,634647.730387854,61.96940922234332,100.0,122008.43996620187,2104836.454858015,440763.91385375336,45.054593811178094,0.0
Stabilization; patient buyers,2,17.688509145719227,633.4574153679614,176940.8178780562,16.0,225.87876651863903,698.6585060755293,937.3698704630418,532.6218378243213,5381812.247110668,581,271.72813777841395,64.14334593688292,638888.9920375061,200.00668457286702,100.0,138561.46494746997,2381935.485640748,147111.8580897525,15.303254064292748,0.0
Stabilization; patient buyers,3,14.90651516994506,625.0718703230755,149670.18569844207,8.0,220.09163308205632,607.8559663953777,940.4014437692748,415.339832069859,4197769.722172882,639,322.06647923078475,176.07336697357889,1797386.0942995741,17.04531463342015,100.0,103897.91351274238,1963706.2224249723,599944.7897608131,61.05776325310342,0.0
Speculative recovery,0,5.111519703296462,1120.9968590618796,38891.93687035713,2.0,293.80100430609804,2560.7801809222838,2281.329770100887,827.5830579914222,4669006.77153861,422,2144.548910466826,254.6723755953049,1402213.504607437,156.81752803839697,100.0,123913.2014109853,2453313.8362250943,90262.60541367158,17.873558129772174,0.0
Speculative recovery,1,47.44346716184528,1568.9875481024778,319690.2071472272,20.0,386.49772263968805,3052.1051169790626,2265.453558040395,1315.6461836462433,8170222.006131367,469,2322.805405760094,158.82827085131532,1000074.9126948,352.6115491213291,100.0,140120.6099509755,2134878.271905321,392670.4192970358,52.47829898812581,0.0
