case,seed,ending_price_return,peak_return,hindsight_peak_hours,hindsight_peak_utc,branches_end,licenses,retired,license_fresh_ETH,game_prefund_ETH,spec_buy_ETH,spec_sell_ETH,buyback_ETH,branch_sell_ETH,new_capital_ETH
Observed clocks; cautious beliefs,0,-0.2709802566113808,0.33161750022108816,17.5,2026-09-16T23:10:47+00:00,1132,0,67,0.0,301.12014156137127,1075.9666298821248,1783.8065617714292,0.0,56.41416303019858,1165.9627948925913
Observed clocks; cautious beliefs,1,-0.1259193049681684,0.2903587467336286,21.0,2026-09-17T02:40:47+00:00,1209,100,90,12.348520387625552,303.3200961827396,1078.5072918714343,1495.7631330938018,0.0,58.87371473922955,1196.3909528448514
Observed clocks; cautious beliefs,2,-0.12959761213404353,0.34916617648852455,20.0,2026-09-17T01:40:47+00:00,1196,100,103,3.256799538711713,297.1384707983509,1087.5769300756726,1494.0860045351435,0.0,62.04632658179928,935.1083751409118
Observed clocks; cautious beliefs,3,0.42919387415057697,0.42919387415057697,24.0,2026-09-17T05:40:47+00:00,1261,100,38,83.5197328395943,343.25807876884494,1086.8383243074595,718.2874285467998,0.0,44.112910075935424,991.9830716111537
Stabilization; patient buyers,0,0.018473434091667018,0.05205368095003382,0.25,2026-09-16T05:55:47+00:00,1292,100,7,38.086459540704794,226.04313138372714,327.20192583927513,512.0929549623336,0.0,10.00334300691788,1147.1838416394435
Stabilization; patient buyers,1,-0.01242545140642426,0.056102978011489224,0.25,2026-09-16T05:55:47+00:00,1283,100,16,45.054593811178094,222.73780967509683,373.0516307471767,602.400737616718,0.0,23.98673960426465,1102.5307071025845
Stabilization; patient buyers,2,0.03041387902856907,0.033589907186170276,6.75,2026-09-16T12:25:47+00:00,1283,100,16,15.303254064292748,225.87876651863903,471.73482235128097,596.7651837612043,0.0,17.688509145719227,937.3698704630418
Stabilization; patient buyers,3,-0.012054119873079805,0.044277388083136415,0.25,2026-09-16T05:55:47+00:00,1291,100,8,61.05776325310342,220.09163308205632,339.1117938642049,591.4131990434379,0.0,14.90651516994506,940.4014437692748
Speculative recovery,0,0.9828646991148844,1.0308927095962668,21.5,2026-09-17T03:10:47+00:00,1297,100,2,17.873558129772174,293.80100430609804,2301.366438505223,1082.2554335867271,0.0,5.111519703296462,2281.329770100887
Speculative recovery,1,1.0142013497597953,1.0142013497597953,24.0,2026-09-17T05:40:47+00:00,1279,100,20,52.47829898812581,386.49772263968805,2675.416954881423,1474.4744544975588,0.0,47.44346716184528,2265.453558040395
Speculative recovery,2,1.1278399527980847,1.1278399527980847,24.0,2026-09-17T05:40:47+00:00,1299,100,0,14.73208700816736,287.3143508645769,2071.68535788162,692.1202785238332,0.0,0.0,2188.57871897372
Speculative recovery,3,0.6772040795892087,0.8387166021577763,17.75,2026-09-16T23:25:47+00:00,1296,100,3,30.98781475363092,287.77279560572464,1735.4991865424538,934.1103682516582,0.0,7.009276884155283,1935.1521482433022
Replacement selling accelerates,0,-0.19486690150086172,0.0,0.0,2026-09-16T05:40:47+00:00,1236,100,63,60.735227843971764,255.20002003965493,698.2767456210014,1279.991003505526,0.0,57.13923661538425,430.6248479879235
Replacement selling accelerates,1,-0.5212606665392796,0.0,0.0,2026-09-16T05:40:47+00:00,1136,9,72,9.814246988683461,15.036751708783724,384.4973290791635,1431.1744793302416,0.0,57.40767321909425,657.747535926032
Replacement selling accelerates,2,-0.5262981827821861,0.0,0.0,2026-09-16T05:40:47+00:00,1138,13,74,6.373713388695826,32.557084137386745,360.23313395572586,1432.8446016599223,0.0,57.64340054194668,471.3616597657903
