hours,elapsed_days,through_utc,fraction_recent_seller_inventory_sold,tokens_sold,investor_entry_ETH,other_buyer_ETH,buyback_tax_exempt_assumed,buyback_ETH,spot_return_before_investor_exit,investor_exit_ETH,investor_net_return
1,0.041666666666666664,2026-09-16T03:22:37+00:00,0.0,0.0,1.0,0.0,False,6.46332442483742,0.00380483568789991,0.934753776687312,-0.06524622331268803
1,0.041666666666666664,2026-09-16T03:22:37+00:00,0.25,585780.9659321556,1.0,0.0,False,6.36346469537756,-0.02696818354850694,0.906100741823957,-0.09389925817604305
1,0.041666666666666664,2026-09-16T03:22:37+00:00,0.5,1171561.9318643112,1.0,0.0,False,6.266553387238463,-0.05637692352260637,0.8787182397726702,-0.12128176022732984
1,0.041666666666666664,2026-09-16T03:22:37+00:00,1.0,2343123.8637286224,1.0,0.0,False,6.08114383031802,-0.11138839482485596,0.827496379002523,-0.17250362099747696
6,0.25,2026-09-16T08:22:37+00:00,0.0,0.0,1.0,0.0,False,38.93981165439201,0.020442920737837378,0.9502453593535801,-0.04975464064641988
6,0.25,2026-09-16T08:22:37+00:00,0.25,585780.9659321556,1.0,0.0,False,38.58615469266137,-0.010947368645078726,0.9210179803904702,-0.07898201960952977
6,0.25,2026-09-16T08:22:37+00:00,0.5,1171561.9318643112,1.0,0.0,False,38.23999933677852,-0.0409488329009875,0.8930833635680073,-0.10691663643199267
6,0.25,2026-09-16T08:22:37+00:00,1.0,2343123.8637286224,1.0,0.0,False,37.56948478936973,-0.0970574287480217,0.8408401087138508,-0.15915989128614916
24,1.0,2026-09-17T02:22:37+00:00,0.0,0.0,1.0,0.0,False,100.65393263316663,0.05243914656602633,0.9800367263035423,-0.019963273696457673
24,1.0,2026-09-17T02:22:37+00:00,0.25,585780.9659321556,1.0,0.0,False,100.62554636390348,0.019998088480641885,0.9498311803662591,-0.05016881963374087
24,1.0,2026-09-17T02:22:37+00:00,0.5,1171561.9318643112,1.0,0.0,False,100.59736822278379,-0.010962536926403699,0.9210038572705752,-0.07899614272942479
24,1.0,2026-09-17T02:22:37+00:00,1.0,2343123.8637286224,1.0,0.0,False,100.54161120461828,-0.06887525762686708,0.8670807612076851,-0.13291923879231493
48,2.0,2026-09-18T02:22:37+00:00,0.0,0.0,1.0,0.0,False,110.83637320749685,0.057763645007308906,0.984994283555743,-0.015005716444256967
48,2.0,2026-09-18T02:22:37+00:00,0.25,585780.9659321556,1.0,0.0,False,110.83523895674396,0.024888432377480285,0.9543844621633252,-0.045615537836674824
48,2.0,2026-09-18T02:22:37+00:00,0.5,1171561.9318643112,1.0,0.0,False,110.83410893576553,-0.006479005173529284,0.9251784521487753,-0.07482154785122475
48,2.0,2026-09-18T02:22:37+00:00,1.0,2343123.8637286224,1.0,0.0,False,110.83186126567587,-0.06512218668672787,0.8705752636537454,-0.12942473634625462
6,0.25,2026-09-16T08:22:37+00:00,0.0,0.0,1.0,0.0,True,38.943081384093034,0.02085348058019565,0.9506276275994059,-0.04937237240059411
24,1.0,2026-09-17T02:22:37+00:00,0.0,0.0,1.0,0.0,True,100.6550662118759,0.0535128106808882,0.9810363985660752,-0.018963601433924837
48,2.0,2026-09-18T02:22:37+00:00,0.0,0.0,1.0,0.0,True,110.83646362903848,0.05894832178572185,0.9860973169225371,-0.013902683077462896
