scenario,payout_share,payment_probability,best_h,expected_incremental_ETH,mean_funding_ETH,break_even_share_at_this_date,boundary_optimum,best_utc
Fast fade,1.0,1.0,336.0,0.25709912744958346,0.2017127481805005,0.43964151517109146,True,2026-09-29 10:09:19 UTC
Fast fade,0.8,1.0,336.0,0.16533675232356665,0.2017127481805005,0.43964151517109146,True,2026-09-29 10:09:19 UTC
Fast fade,0.5,1.0,336.0,0.027693189634541482,0.2017127481805005,0.43964151517109146,True,2026-09-29 10:09:19 UTC
Fast fade,0.8,0.8,336.0,0.09192685222275329,0.2017127481805005,0.5495518939638643,True,2026-09-29 10:09:19 UTC
Central case,1.0,1.0,56.0,-0.25047302080095274,0.45347641682371514,2.2338366042549733,False,2026-09-17 18:09:19 UTC
Central case,0.8,1.0,56.0,-0.2910737000055052,0.45347641682371514,2.2338366042549733,False,2026-09-17 18:09:19 UTC
Central case,0.5,1.0,56.0,-0.35197471881233394,0.45347641682371514,2.2338366042549733,False,2026-09-17 18:09:19 UTC
Central case,0.8,0.8,56.0,-0.3235542433691471,0.45347641682371514,2.792295755318716,False,2026-09-17 18:09:19 UTC
Continued rebound,1.0,1.0,104.0,0.19960646116149,0.8679593578886555,0.8130265529303967,False,2026-09-19 18:09:19 UTC
Continued rebound,0.8,1.0,104.0,-0.013906702648539057,0.8679593578886555,0.8130265529303967,False,2026-09-19 18:09:19 UTC
Continued rebound,0.5,1.0,104.0,-0.3341764483635828,0.8679593578886555,0.8130265529303967,False,2026-09-19 18:09:19 UTC
Continued rebound,0.8,0.8,104.0,-0.18471723369656226,0.8679593578886555,1.016283191162996,False,2026-09-19 18:09:19 UTC
Withdrawal wave (stress),1.0,1.0,48.0,-0.26189326476513375,0.45378852269525705,2.364771946894589,False,2026-09-17 10:09:19 UTC
Withdrawal wave (stress),0.8,1.0,48.0,-0.30027231635115836,0.45378852269525705,2.364771946894589,False,2026-09-17 10:09:19 UTC
Withdrawal wave (stress),0.5,1.0,48.0,-0.35784089373019545,0.45378852269525705,2.364771946894589,False,2026-09-17 10:09:19 UTC
Withdrawal wave (stress),0.8,0.8,48.0,-0.3309755576199781,0.45378852269525705,2.955964933618236,False,2026-09-17 10:09:19 UTC
