hours_after_reset,elapsed_days,timestamp_utc,unit_price_tokens,use_existing_wallet_inventory,licenses_funded,entirely_internal_licenses,wallet_tokens_used,fresh_tokens_needed,fresh_ETH_if_shortfall_bought_now
0,0.013275462962962963,2026-09-16T01:04:04+00:00,23776.68185829608,False,100,16,0.0,1551215.3407682679,186.45864380561844
0,0.013275462962962963,2026-09-16T01:04:04+00:00,23776.68185829608,True,100,16,1867635.865006935,0.0,0.0
4,0.17994212962962963,2026-09-16T05:04:04+00:00,12525.283604307275,False,100,38,0.0,530731.6704998434,61.68450893059215
4,0.17994212962962963,2026-09-16T05:04:04+00:00,12525.283604307275,True,100,38,697340.2258650585,0.0,0.0
8,0.34660879629629626,2026-09-16T09:04:04+00:00,6899.584477312874,False,100,64,0.0,101967.17402705853,11.688562516975393
8,0.34660879629629626,2026-09-16T09:04:04+00:00,6899.584477312874,True,100,64,150690.17338699027,0.0,0.0
12,0.513275462962963,2026-09-16T13:04:04+00:00,4086.7349138156724,False,100,92,0.0,1852.0226906473868,0.21161954491377524
12,0.513275462962963,2026-09-16T13:04:04+00:00,4086.7349138156724,True,100,92,1858.6250505564412,0.0,0.0
20,0.8466087962962964,2026-09-16T21:04:04+00:00,1977.0977411927715,False,100,100,0.0,0.0,0.0
20,0.8466087962962964,2026-09-16T21:04:04+00:00,1977.0977411927715,True,100,100,0.0,0.0,0.0
24,1.013275462962963,2026-09-17T01:04:04+00:00,1273.8853503184714,False,100,100,0.0,0.0,0.0
24,1.013275462962963,2026-09-17T01:04:04+00:00,1273.8853503184714,True,100,100,0.0,0.0,0.0
