selling_half_life,buy_multiple,final_ratio,scenario_end_utc
2h,0.5,0.9726990643935117,2026-09-16 22:45:58 UTC
2h,1.0,1.2069766881286164,2026-09-16 22:45:58 UTC
2h,2.0,1.7608047516282266,2026-09-16 22:45:58 UTC
2h,3.0,2.4100887563431406,2026-09-16 22:45:58 UTC
6h,0.5,0.6478465254532892,2026-09-16 22:45:58 UTC
6h,1.0,0.8164993889196422,2026-09-16 22:45:58 UTC
6h,2.0,1.195776625748794,2026-09-16 22:45:58 UTC
6h,3.0,1.6448342433396417,2026-09-16 22:45:58 UTC
12h,0.5,0.46799495923167916,2026-09-16 22:45:58 UTC
12h,1.0,0.5894643575660634,2026-09-16 22:45:58 UTC
12h,2.0,0.8637095916634246,2026-09-16 22:45:58 UTC
12h,3.0,1.167565602372242,2026-09-16 22:45:58 UTC
Persists,0.5,0.2598155889510236,2026-09-16 22:45:58 UTC
Persists,1.0,0.3255332860795251,2026-09-16 22:45:58 UTC
Persists,2.0,0.46860052511073125,2026-09-16 22:45:58 UTC
Persists,3.0,0.6235732582214599,2026-09-16 22:45:58 UTC
