selling_half_life,target,hourly_wallet_buy_eth,multiple_of_observed,total_wallet_buy_eth_24h,target_time_utc
2h,10% bounce,27.392115726809784,0.7796658575534821,657.4107774434349,2026-09-16 22:45:58 UTC
2h,Reclaim 13:40 UTC reference,41.77565051665634,1.189066544175148,1002.6156123997522,2026-09-16 22:45:58 UTC
2h,Reclaim 10:09 UTC reference,61.56260215234848,1.7522654868662357,1477.5024516563635,2026-09-16 22:45:58 UTC
6h,10% bounce,61.92028273265796,1.7624462023377419,1486.086785583791,2026-09-16 22:45:58 UTC
6h,Reclaim 13:40 UTC reference,79.20404422013289,2.2543964721262455,1900.8970612831893,2026-09-16 22:45:58 UTC
6h,Reclaim 10:09 UTC reference,103.22607834097697,2.938139196485281,2477.425880183447,2026-09-16 22:45:58 UTC
12h,10% bounce,97.92364679157127,2.7872152999043465,2350.1675229977104,2026-09-16 22:45:58 UTC
12h,Reclaim 13:40 UTC reference,119.76363913674072,3.408850245177746,2874.3273392817773,2026-09-16 22:45:58 UTC
12h,Reclaim 10:09 UTC reference,150.74548780022752,4.290691204369068,3617.8917072054605,2026-09-16 22:45:58 UTC
Persists,10% bounce,204.59360736065298,5.823378227651119,4910.246576655672,2026-09-16 22:45:58 UTC
Persists,Reclaim 13:40 UTC reference,245.05025965285978,6.974901929497719,5881.206231668635,2026-09-16 22:45:58 UTC
Persists,Reclaim 10:09 UTC reference,305.3886392198856,8.692322187125683,7329.327341277254,2026-09-16 22:45:58 UTC
