elapsed_days,timestamp_utc,fraction_of_ledger_withdrawn,gross_ledger,net_tokens_minted,weighted_resolution_fee,net_ETH_to_sellers,price_return_without_buys
0,2026-09-16T01:47:19+00:00,0.1,137827.65310829986,134419.3557262633,0.024728690543387777,13.788668321198847,-0.007145652453007134
0,2026-09-16T01:47:19+00:00,0.25,344569.1327707496,328895.358945751,0.04548803805774093,33.56410887750899,-0.01734908500066168
0,2026-09-16T01:47:19+00:00,0.5,689138.2655414992,608599.6744509067,0.11686855180985822,61.65146739183888,-0.031747011134450664
0,2026-09-16T01:47:19+00:00,1.0,1378276.5310829985,930576.1971894648,0.3248262041738078,93.47428697121401,-0.048158492507630046
1,2026-09-17T01:47:19+00:00,0.1,207827.65310829986,201612.73481536435,0.02990419321001947,20.64439398702787,-0.010688934203302747
1,2026-09-17T01:47:19+00:00,0.25,519569.1327707496,480084.41246503766,0.07599512329600588,48.797682812891196,-0.025171344352658886
1,2026-09-17T01:47:19+00:00,0.5,1039138.2655414992,795019.2457728505,0.23492448297189528,80.14285502084107,-0.041240047533480984
1,2026-09-17T01:47:19+00:00,1.0,2078276.5310829985,1210373.386490321,0.41760715266337034,120.68858058874979,-0.06221063451953257
2,2026-09-18T01:47:19+00:00,0.1,277827.6531082999,267554.3628883281,0.0369772054906542,27.34863701053186,-0.014147798834559189
2,2026-09-18T01:47:19+00:00,0.25,694569.1327707496,612358.7886070571,0.11836164362176893,62.02613762477136,-0.03193834904706394
2,2026-09-18T01:47:19+00:00,0.5,1389138.2655414992,934917.718268595,0.32698008437327486,93.89966399185788,-0.048378832615182055
2,2026-09-18T01:47:19+00:00,1.0,2778276.5310829985,1490170.5974030632,0.46363488992862034,147.50235217841433,-0.07596535787307135
