window_hours,from_utc_approx,to_utc,side,attributed_pool_eth,all_pool_eth,attribution_fraction,attributed_tokens,addresses,tx_count,new_to_canonical_pool_buy_eth,charter_owner_pool_eth
0.3333333333333333,2026-09-16T01:27:19+00:00,2026-09-16T01:47:19+00:00,buy,1.9125298224272231,1.9145472242680346,0.9989462773154719,17033.33666654228,8,11,0.13350963741007113,1.4552999999999998
0.3333333333333333,2026-09-16T01:27:19+00:00,2026-09-16T01:47:19+00:00,sell,121.85403663974004,141.7433143564565,0.8596810170058615,1106757.84489104,79,99,0.0,0.0
2.0,2026-09-15T23:47:19+00:00,2026-09-16T01:47:19+00:00,buy,306.01838835458943,311.88322100720916,0.9811954210499699,2677911.8060500193,150,281,37.55955380304586,107.08871690695344
2.0,2026-09-15T23:47:19+00:00,2026-09-16T01:47:19+00:00,sell,624.312768783888,644.4864750785144,0.9686980145050076,5469325.974785088,245,316,0.0,56.119849473975314
6.0,2026-09-15T19:47:19+00:00,2026-09-16T01:47:19+00:00,buy,568.3746338794028,575.2270350553923,0.9880874841438396,4819205.989067312,320,584,178.38562938964117,146.23236011621944
6.0,2026-09-15T19:47:19+00:00,2026-09-16T01:47:19+00:00,sell,887.8582551228667,909.4403016218084,0.9762688694788934,7662233.454596432,447,608,0.0,86.59802586180317
12.0,2026-09-15T13:47:19+00:00,2026-09-16T01:47:19+00:00,buy,1284.3534557440034,1464.9097420480662,0.8767457945554857,10180908.080435723,874,1646,482.5526659818644,225.41162992128164
12.0,2026-09-15T13:47:19+00:00,2026-09-16T01:47:19+00:00,sell,2014.031948831806,2085.5387631190624,0.9657130255491807,16163692.625051863,855,1544,0.0,354.36601437080424
24.0,2026-09-15T01:47:19+00:00,2026-09-16T01:47:19+00:00,buy,8221.61530626526,8500.484188931687,0.9671937649117051,55638294.17747237,4278,12453,5427.856753847372,939.4789047345122
24.0,2026-09-15T01:47:19+00:00,2026-09-16T01:47:19+00:00,sell,8486.083123435124,8637.721573948691,0.9824446239421624,59089175.05444554,2751,11928,0.0,1532.2445434355886
