tx,block,log_index,sender,recipient,tokens
0x5c63cfc70338c33bc99daf6929f17c01225442f2e8e9fd43dea24d20e230dfca,64168870,10,0x65ee0e9d98ed1564655ac51d78ffd6ef61f66404,0x6aa80dbbed9ae5ab45fbf61f9644fada3b29326e,16948.55577651093
0x5c63cfc70338c33bc99daf6929f17c01225442f2e8e9fd43dea24d20e230dfca,64168870,13,0x6aa80dbbed9ae5ab45fbf61f9644fada3b29326e,0x039ec98a76f111092d4751365ff09dd2aec301e8,16948.55577651093
0x5c63cfc70338c33bc99daf6929f17c01225442f2e8e9fd43dea24d20e230dfca,64168870,15,0x039ec98a76f111092d4751365ff09dd2aec301e8,0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,16948.55577651093
0x5c63cfc70338c33bc99daf6929f17c01225442f2e8e9fd43dea24d20e230dfca,64168870,18,0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,0xa82f4ba49b5e61ba8c1c3a1fababaa459761e324,16948.55577651093
0xf79546cce3882ce33bd77f569955387fd435f2da62c7cd48a8797b57db8833a1,64170138,19,0x65ee0e9d98ed1564655ac51d78ffd6ef61f66404,0x6aa80dbbed9ae5ab45fbf61f9644fada3b29326e,7003.664907517414
0xf79546cce3882ce33bd77f569955387fd435f2da62c7cd48a8797b57db8833a1,64170138,22,0xbbd8f14be91b0eab9dcc6538b8360de243c8a4ca,0x6aa80dbbed9ae5ab45fbf61f9644fada3b29326e,2000.6631825680347
0xf79546cce3882ce33bd77f569955387fd435f2da62c7cd48a8797b57db8833a1,64170138,29,0x8366a39cc670b4001a1121b8f6a443a643e40951,0x6aa80dbbed9ae5ab45fbf61f9644fada3b29326e,10999.11684802309
0xf79546cce3882ce33bd77f569955387fd435f2da62c7cd48a8797b57db8833a1,64170138,30,0x6aa80dbbed9ae5ab45fbf61f9644fada3b29326e,0x039ec98a76f111092d4751365ff09dd2aec301e8,20003.44493810854
0xf79546cce3882ce33bd77f569955387fd435f2da62c7cd48a8797b57db8833a1,64170138,32,0x039ec98a76f111092d4751365ff09dd2aec301e8,0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,20003.44493810854
0xf79546cce3882ce33bd77f569955387fd435f2da62c7cd48a8797b57db8833a1,64170138,35,0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,0xed3ad83572cce1e7db2ea644f19abf98fc096684,20003.44493810854
